,interaction,features,odds,p,is_significant,q,log_o,log_q
5693,CHEBI:16908:+,IPR036010,15.72737955346651,0.00896385854103095,True,0.024879175632382105,1.1966563678697502,1.6041640140229747
5694,CHEBI:16077:+,IPR033129,224.5,8.330262924206317e-05,True,0.0010115094682649187,2.351216345339342,2.9950300476475396
5696,CHEBI:16469:+,IPR000222,86.65806451612903,0.0004788200950536172,True,0.003746961360049306,1.9378089849597009,2.426320785476763
5697,CHEBI:17754:+,IPR013815,10.369565217391305,0.01895674887207432,True,0.03898027548140675,1.0157605473585398,1.4091550959615462
5698,CHEBI:16469:+,IPR000340,43.29677419354839,0.0014820167817340252,True,0.008344251608814189,1.6364555406460006,2.0786126088633914
5699,CHEBI:9532:+,IPR017896,37.3,0.001857391994103284,True,0.009762012669679885,1.5717088318086876,2.0104606330277366
5700,CHEBI:28368:-,IPR014727,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5701,CHEBI:29073:-,IPR041640,15000.0,0.00022587269804317104,True,0.002224461938483665,4.176091259055681,2.652775020820829
5702,CHEBI:17336:-,IPR016160,79.83333333333333,0.0006119840731714517,True,0.004406711478400939,1.9021842630309196,2.355885383218309
5703,CHEBI:29073:-,IPR046451,133.02,0.0006709275521243537,True,0.004790637816081021,2.123916943498132,2.319606661624263
5704,CHEBI:17336:-,IPR016162,61.98148148148148,0.0009915280529321391,True,0.006426122718432491,1.7922619525348087,2.1920509850669214
5706,CHEBI:16761:-,IPR036867,15000.0,0.006334301854100899,True,0.02049913440028067,4.176091259055681,1.6882644771451467
5707,CHEBI:17345:-,IPR001503,15000.0,0.0003564149271394493,True,0.0029946714452686054,4.176091259055681,2.52365081846132
5710,CHEBI:15422:-,IPR004327,18.61374045801527,0.02651529737958761,True,0.04849938046914301,1.2698336540037423,1.3142638090379637
5711,CHEBI:30887:-,IPR019818,37.61344537815126,0.001831398910795833,True,0.009639397211994645,1.5753431164637817,2.0159501233263803
5712,CHEBI:16469:+,IPR002044,39.354838709677416,0.001746128155268561,True,0.00936780348966067,1.5949981368404755,2.0283622281247555
5716,CHEBI:9532:+,IPR011894,15000.0,1.0129410453904835e-05,True,0.00018728413172564533,4.176091259055681,3.7274990181182712
5717,CHEBI:16469:+,IPR006811,216.74193548387098,0.0001380686420843417,True,0.0015113948820135144,2.3359429472554623,2.820622052752789
5719,CHEBI:58199:+,IPR002138,374.44444444444446,3.425657593177239e-05,True,0.0004989138080532427,2.573387391432014,3.3019744762605687
5720,CHEBI:17345:-,IPR002125,13.130952380952381,0.014517752922675807,True,0.03346845162014055,1.118296226378309,1.475364379317865
5721,CHEBI:16469:+,IPR006357,48.11469534050179,0.001238796351575679,True,0.007384067846324696,1.6822777402110274,2.1317043215773412
5723,CHEBI:16108:-,IPR046348,21.371610845295056,0.005150523033185875,True,0.01822937380002076,1.329837257534091,1.7392282496042932
5724,CHEBI:16469:+,IPR006349,61.88018433179724,0.000815824826905011,True,0.005565176590460051,1.7915515987274453,2.254521050368703
5725,CHEBI:15422:-,IPR004184,18.61374045801527,0.02651529737958761,True,0.04849938046914301,1.2698336540037423,1.3142638090379637
5726,CHEBI:16108:-,IPR045520,203.54545454545453,0.00015552710555537846,True,0.0016363124325037893,2.308661408420805,2.7861337698837425
5727,CHEBI:16108:-,IPR045252,81.38181818181818,0.0005390460104393712,True,0.004153150129395781,1.9105273883620686,2.381622369590892
5728,CHEBI:9532:+,IPR011603,336.5,6.053668263050641e-05,True,0.0007805740854525419,2.5269850685599957,3.1075858711072706
5730,CHEBI:28368:-,IPR000768,140.08333333333334,0.00021175152232191672,True,0.0021137919590790474,2.1463864673918462,2.6749377584997562
5731,CHEBI:16168:-,IPR012733,15000.0,1.3155078511523542e-07,True,4.809244232610071e-06,4.176091259055681,5.3179231671596074
5732,CHEBI:76451:-,IPR000674,153.02272727272728,0.0001525822783888132,True,0.0016153079665337103,2.184755937981758,2.791744665026059
5733,CHEBI:15422:-,IPR003565,18.61374045801527,0.02651529737958761,True,0.04849938046914301,1.2698336540037423,1.3142638090379637
5735,CHEBI:16113:+,IPR000756,396.05882352941177,4.4839468724346184e-05,True,0.0006191139615881552,2.5977596930896714,3.208229402137433
5736,CHEBI:28368:-,IPR001631,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5738,CHEBI:16113:+,IPR000159,131.94117647058823,0.0002078499508355615,True,0.0020820229982677213,2.120380352204694,2.6815144775317266
5739,CHEBI:16469:+,IPR001763,27.036290322580644,0.0033731847393499216,True,0.014299735130766857,1.4319471013614014,1.8446720067525408
5741,CHEBI:17858:-,IPR043926,230.79310344827587,0.00023151145722719328,True,0.0022509008504218112,2.363222827104544,2.6476436347476144
5742,CHEBI:4170:+,IPR023049,52.51764705882353,0.0012373427601653567,True,0.0073769221204216485,1.7203052602152296,2.1321248014473633
5744,CHEBI:16469:+,IPR008425,144.4731182795699,0.00022941044901491928,True,0.002247453947149489,2.1597870466156914,2.6483091986842853
5746,CHEBI:4167:-,IPR037524,15000.0,0.0003453208109299077,True,0.0029239417340735626,4.176091259055681,2.534031285894224
5747,CHEBI:4167:-,IPR036881,106.88709677419355,0.001023278848496277,True,0.006558398294815764,2.0289252810928433,2.183202211944169
5748,CHEBI:4167:-,IPR036938,15.255760368663594,0.011408766956561064,True,0.029175891049308345,1.1834338583688067,1.5349758714646526
5750,CHEBI:4167:-,IPR036962,106.88709677419355,0.001023278848496277,True,0.006558398294815764,2.0289252810928433,2.183202211944169
5752,CHEBI:16469:+,IPR001932,61.88018433179724,0.000815824826905011,True,0.005565176590460051,1.7915515987274453,2.254521050368703
5753,CHEBI:16469:+,IPR008343,61.88018433179724,0.000815824826905011,True,0.005565176590460051,1.7915515987274453,2.254521050368703
5754,CHEBI:17345:-,IPR001173,17.513227513227513,0.009260054436081357,True,0.025491377318890427,1.2433661896024746,1.593606698629043
5755,CHEBI:16469:+,IPR007308,216.74193548387098,0.0001380686420843417,True,0.0015113948820135144,2.3359429472554623,2.820622052752789
5758,CHEBI:16108:-,IPR041728,203.54545454545453,0.00015552710555537846,True,0.0016363124325037893,2.308661408420805,2.7861337698837425
5759,CHEBI:16108:+,IPR018129,269.48,6.047702037022834e-05,True,0.0007805740854525419,2.430526538680641,3.1075858711072706
5760,CHEBI:16908:+,IPR039028,120.93693693693693,0.00032138351679473733,True,0.002766564098491103,2.0825589646979674,2.5580592631695116
5762,CHEBI:18009:-,IPR019845,72.18681318681318,0.0021749892945344827,True,0.010955637802085253,1.8584578695466647,1.9603623341358485
5763,CHEBI:58161:+,IPR003726,1685.75,5.915109354402567e-06,True,0.00012089475470464016,3.226793168348678,3.9175925415895856
5764,CHEBI:16108:-,IPR013328,14.482683982683982,0.010362247406755674,True,0.02727309597717351,1.1608490543233054,1.5642655591803465
5765,CHEBI:17858:-,IPR045473,230.79310344827587,0.00023151145722719328,True,0.0022509008504218112,2.363222827104544,2.6476436347476144
5766,CHEBI:58161:+,IPR017226,2248.3333333333335,3.681239861234163e-06,True,8.096211085618987e-05,3.3518606992882605,4.0917181773663724
5767,CHEBI:16108:-,IPR001150,203.54545454545453,0.00015552710555537846,True,0.0016363124325037893,2.308661408420805,2.7861337698837425
5768,CHEBI:16469:+,IPR004843,15.995221027479092,0.008655962638936495,True,0.024513374632997582,1.2039902456924796,1.6105968974951743
5770,CHEBI:16469:+,IPR006186,61.88018433179724,0.000815824826905011,True,0.005565176590460051,1.7915515987274453,2.254521050368703
5771,CHEBI:16108:-,IPR011992,18.449035812672175,0.006703702650220583,True,0.0211011585078531,1.2659736739000669,1.6756937001641117
5773,CHEBI:16108:-,IPR011128,101.74242424242425,0.0003862900086750515,True,0.0032075253545103075,2.0075020814628655,2.4938299019739545
5774,CHEBI:15351:-,IPR002813,21.36757624398074,0.006078227088088054,True,0.020140648558995364,1.329755262287479,1.6959265486256083
5775,CHEBI:28264:-,IPR016039,708.6315789473684,2.7573839475838675e-05,True,0.00041942366597794986,2.8504205020149387,3.3773470681156468
5777,CHEBI:17345:-,IPR005764,35.042328042328045,0.0034329653195808566,True,0.014476853752278493,1.544592950873644,1.8393258128966559
5778,CHEBI:16108:-,IPR006411,15000.0,2.6090905714564033e-05,True,0.00039980740093119185,4.176091259055681,3.3981491708136295
5779,CHEBI:16108:-,IPR006168,101.74242424242425,0.0003862900086750515,True,0.0032075253545103075,2.0075020814628655,2.4938299019739545
5780,CHEBI:16108:-,IPR002048,17.64426877470356,0.007263049331483073,True,0.02216424223690566,1.2466036647537044,1.654347112005341
5781,CHEBI:58161:+,IPR036589,1685.75,5.915109354402567e-06,True,0.00012089475470464016,3.226793168348678,3.9175925415895856
5782,CHEBI:16108:-,IPR006109,101.74242424242425,0.0003862900086750515,True,0.0032075253545103075,2.0075020814628655,2.4938299019739545
5783,CHEBI:76451:-,IPR001440,240.60714285714286,7.064555726715866e-05,True,0.0008910788347259036,2.381308516010459,3.050083871752257
5784,CHEBI:16108:-,IPR005949,407.1515151515151,7.801768163032024e-05,True,0.0009624729245523188,2.609756055291739,3.0166114788406717
5785,CHEBI:16108:-,IPR004184,407.1515151515151,7.801768163032024e-05,True,0.0009624729245523188,2.609756055291739,3.0166114788406717
5786,CHEBI:18009:-,IPR022663,14.428571428571429,0.014165371701850343,True,0.032847008549663624,1.1592233337683857,1.4835041764704515
5787,CHEBI:16469:+,IPR004274,216.74193548387098,0.0001380686420843417,True,0.0015113948820135144,2.3359429472554623,2.820622052752789
5790,CHEBI:29073:-,IPR046452,133.02,0.0006709275521243537,True,0.004790637816081021,2.123916943498132,2.319606661624263
5792,CHEBI:17345:-,IPR003565,105.15873015873017,0.0010559425655247495,True,0.0066703962129821305,2.0218453331552637,2.1758483687819163
5793,CHEBI:16469:+,IPR003439,25.44212523719165,0.0037585415632394176,True,0.015228773078930044,1.4055533860736547,1.8173350846163165
5795,CHEBI:16108:+,IPR021135,269.48,6.047702037022834e-05,True,0.0007805740854525419,2.430526538680641,3.1075858711072706
5796,CHEBI:16469:+,IPR003591,86.65806451612903,0.0004788200950536172,True,0.003746961360049306,1.9378089849597009,2.426320785476763
